game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401014973,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,4418,Jerry Richardson Stadium,2429,Charlotte,Conference USA,34,0.999984164464906,NA,NA,2230,Fordham,NA,10,0.000015835535093988717,NA,NA,2.6062499703,NA,NA
401013448,2018,1,regular,2018-09-01T22:00:00.000Z,NA,FALSE,FALSE,0,3992,Williams Stadium,2335,Liberty,FBS Independents,52,0.9998402730839259,1444,1541,295,Old Dominion,Conference USA,10,0.00015972691607413214,1251,1154,5.0482463785,NA,NA
401012851,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,218,FIU Stadium,2229,Florida International,Conference USA,28,0.08816900970878677,1377,1371,84,Indiana,Big Ten,38,0.9118309902912132,1557,1563,2.7499679181,https://www.youtube.com/watch?v=CLDKcBwCeEg,NA
401020676,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3739,Glass Bowl,2649,Toledo,Mid-American,66,0.9999873144404265,NA,NA,2678,VMI,NA,3,0.000012685559573455407,NA,NA,0.0266620140000006,NA,NA
401019476,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,38,0.9977510896828313,NA,NA,2110,Central Arkansas,NA,27,0.002248910317168673,NA,NA,6.0252868305,https://www.youtube.com/watch?v=vgHOuI_-Zz0,NA
401019474,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,66,0.9999958345824962,NA,NA,2382,Mercer,NA,14,0.000004165417503809721,NA,NA,1.0251003832,https://www.youtube.com/watch?v=YBrgW4EWIkQ,NA
401012679,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,1056,Rose Bowl,26,UCLA,Pac-12,17,0.2196041237734069,1471,1437,2132,Cincinnati,American Athletic,26,0.7803958762265931,1291,1325,8.7869201591,https://www.youtube.com/watch?v=zUuVo8okkTw,NA
401021654,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3666,Cajun Field,309,Louisiana,Sun Belt,49,0.9997927217865997,NA,NA,2755,Grambling,NA,17,0.00020727821340027486,NA,NA,1.0627373025,NA,NA
401013048,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3833,Memorial Stadium,2305,Kansas,Big 12,23,0.15578688342620697,NA,NA,2447,Nicholls,NA,26,0.844213116573793,NA,NA,9.41128064859999,https://www.youtube.com/watch?v=sC1A1nORhXo,NA
401014978,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3815,M. M. Roberts Stadium,2572,Southern Mississippi,Conference USA,55,0.9994952216812634,NA,NA,2296,Jackson State,NA,7,0.0005047783187366317,NA,NA,0.188652225199998,https://www.youtube.com/watch?v=c72cGNYWKhw,NA
401014974,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3797,Ladd Peebles Stadium,6,South Alabama,Sun Belt,26,0.17346633829827812,1233,1245,2348,Louisiana Tech,Conference USA,30,0.8265336617017218,1537,1525,3.39524150609999,NA,NA
401013057,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,27,0.5711801005392997,NA,NA,233,South Dakota,NA,24,0.4288198994607003,NA,NA,7.73617338379999,https://www.youtube.com/watch?v=gMbrkMbG29c,NA
401021652,2018,1,regular,2018-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,48,0.998884580500493,NA,NA,2546,Southeast Missouri State,NA,21,0.0011154194995069977,NA,NA,0.727200521,NA,NA
401012249,2018,1,regular,2018-09-01T23:30:00.000Z,NA,FALSE,FALSE,0,3634,Ben Hill Griffin Stadium,57,Florida,SEC,53,0.9998257838347568,NA,NA,2127,Charleston Southern,NA,6,0.0001742161652431573,NA,NA,0.0448168873999993,https://www.youtube.com/watch?v=OqsR5HaF5Cg,NA
401012254,2018,1,regular,2018-09-01T23:30:00.000Z,NA,FALSE,FALSE,0,3693,Davis Wade Stadium,344,Mississippi State,SEC,63,0.9999955955222241,NA,NA,2617,Stephen F. Austin,NA,6,0.000004404477775943327,NA,NA,0.0254067829000002,NA,NA
401014976,2018,1,regular,2018-09-01T23:30:00.000Z,NA,FALSE,FALSE,0,3825,Apogee Stadium,249,North Texas,Conference USA,46,0.9987373302064423,1335,1397,2567,SMU,American Athletic,23,0.0012626697935577136,1387,1325,2.0082988577,https://www.youtube.com/watch?v=4zlLX9-1Sqc,NA
401014980,2018,1,regular,2018-09-01T23:30:00.000Z,NA,FALSE,FALSE,0,3946,Sun Bowl Stadium,2638,UTEP,Conference USA,10,0.006031035556264542,NA,NA,2464,Northern Arizona,NA,30,0.9939689644437355,NA,NA,3.04488015159999,https://www.youtube.com/watch?v=2UMbpbcZuWY,NA
401012259,2018,1,regular,2018-09-01T23:30:00.000Z,NA,FALSE,FALSE,0,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,35,0.9996203330946147,1414,1488,2393,Middle Tennessee,Conference USA,7,0.0003796669053852675,1421,1347,3.6034339205,NA,NA
401012888,2018,1,regular,2018-09-01T23:30:00.000Z,NA,FALSE,FALSE,0,3855,Notre Dame Stadium,87,Notre Dame,FBS Independents,24,0.92783043145901,1722,1730,130,Michigan,Big Ten,17,0.07216956854098999,1701,1693,4.2446507286,https://www.youtube.com/watch?v=reeW5x_QkMU,NA
401012681,2018,1,regular,2018-09-02T00:00:00.000Z,NA,FALSE,FALSE,0,3626,Autzen Stadium,2483,Oregon,Pac-12,58,0.9998393673219237,1613,1664,189,Bowling Green,Mid-American,24,0.0001606326780763112,1265,1214,0.738405284700001,https://www.youtube.com/watch?v=ln8zA5g1xPo,NA
401012246,2018,1,regular,2018-09-02T00:00:00.000Z,NA,TRUE,FALSE,57280,4013,Camping World Stadium,333,Alabama,SEC,51,0.9999255686466408,1986,2062,97,Louisville,ACC,14,0.00007443135335916118,1701,1625,0.394188331699999,https://www.youtube.com/watch?v=blF1MPQ5aaw,NA
401022515,2018,1,regular,2018-09-02T00:00:00.000Z,NA,FALSE,FALSE,0,3971,University Stadium,167,New Mexico,Mountain West,62,0.9991581186438564,NA,NA,2916,Incarnate Word,NA,30,0.0008418813561436034,NA,NA,0.307032200699999,NA,NA
401013026,2018,1,regular,2018-09-02T00:00:00.000Z,NA,FALSE,FALSE,0,4727,McLane Stadium,239,Baylor,Big 12,55,0.9998295720824828,NA,NA,2000,Abilene Christian,NA,27,0.00017042791751720188,NA,NA,0.146911048999999,https://www.youtube.com/watch?v=v1mQhDaVItY,NA
401022516,2018,1,regular,2018-09-02T02:00:00.000Z,NA,FALSE,FALSE,0,3660,Bulldog Stadium,278,Fresno State,Mountain West,79,0.9995402711314478,NA,NA,70,Idaho,NA,13,0.0004597288685521672,NA,NA,0.4491663395,https://www.youtube.com/watch?v=Ez5o-Ng2KMA,NA
401012677,2018,1,regular,2018-09-02T02:30:00.000Z,NA,FALSE,FALSE,0,3947,Sun Devil Stadium,9,Arizona State,Pac-12,49,0.9999920070738963,1498,1612,2636,UT San Antonio,Conference USA,7,0.000007992926103650433,1429,1315,0.574617268999999,https://www.youtube.com/watch?v=0DqaoprezwQ,NA
401012676,2018,1,regular,2018-09-02T02:45:00.000Z,NA,FALSE,FALSE,0,3619,Arizona Stadium,12,Arizona,Pac-12,23,0.252378224443892,1513,1496,252,BYU,FBS Independents,28,0.747621775556108,1396,1413,5.07418613049999,https://www.youtube.com/watch?v=_no6VO2XeGI,NA
401019475,2018,1,regular,2018-09-02T03:00:00.000Z,NA,FALSE,FALSE,0,3610,Aloha Stadium,62,Hawai'i,Mountain West,59,0.9796414129712154,1264,1345,2426,Navy,American Athletic,41,0.02035858702878457,1633,1552,3.7631715548,https://www.youtube.com/watch?v=s880LSIAtMA,NA
401079833,2018,1,regular,2018-09-02T19:30:00.000Z,NA,FALSE,FALSE,0,3699,Dowdy-Ficklen Stadium,151,East Carolina,American Athletic,23,0.4801521413827188,NA,NA,2448,North Carolina A&T,NA,28,0.5198478586172812,NA,NA,6.9631012532,https://www.youtube.com/watch?v=6i-7cmf6uCU,NA
401013095,2018,1,regular,2018-09-02T23:30:00.000Z,NA,TRUE,FALSE,0,3687,AT&T Stadium,99,LSU,SEC,33,0.9559552996558128,1736,1774,2390,Miami,ACC,17,0.04404470034418717,1695,1657,3.8470693333,https://www.youtube.com/watch?v=SxZrYfJeEG8,NA
401013096,2018,1,regular,2018-09-04T00:00:00.000Z,NA,FALSE,TRUE,0,3697,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,3,0.31246770456927847,1647,1603,259,Virginia Tech,ACC,24,0.6875322954307215,1731,1775,3.91834934429999,https://www.youtube.com/watch?v=xm_amg8qlrA,NA
